Latitude,Longitude (-W),Site Number,RPU Name,NWS ID,GPS Altitude (feet),Altitude (meters)
41.4963,-94.7263,512.00,Adair,RDAI4,"1,475",449.58
43.0830,-94.3985,512.01,Algona,RALI4,"1,106",337.1088
42.9978,-96.0843,512.02,Alton,RTNI4,"1,410",429.768
41.6597,-93.5222,512.03,Altoona,RTOI4,858,261.5184
42.0340,-93.5702,512.04,Ames,RAMI4,"1,027",313.0296
41.7608,-93.5697,512.05,Ankeny,RAKI4,865,263.652
41.4982,-95.2915,512.06,Avoca,RAVI4,"1,238",377.3424
40.8130,-91.0992,512.07,Burlington,RBUI4,715,217.932
42.0785,-94.8975,512.08,Carroll,RCAI4,"1,275",388.62
41.9780,-91.6745,512.09,Cedar Rapids I-380,RCDI4,773,235.6104
41.9300,-91.6838,512.10,Cedar Rapids US 30,RCII4,807,245.9736
40.7397,-93.0027,512.11,Centerville,RCNI4,968,295.0464
41.2325,-95.8959,512.12,Council Bluffs,RCBI4,879,267.9192
41.0498,-94.3080,512.13,Creston,RCEI4,"1,274",388.3152
41.6023,-90.6777,512.14,Davenport,RDVI4,676,206.0448
43.2455,-91.6997,512.15,Decorah,RDCI4,"1,017",309.9816
41.5239,-93.7741,512.16,Des Moines I-35,RDSI4,735,224.028
41.5957,-93.6113,512.17,Des Moines I-235,RDMI4,833,253.8984
41.5415,-94.0112,512.18,De Soto,RDEI4,956,291.3888
41.8262,-90.5705,512.19,De Witt,RDWI4,789,240.4872
42.4903,-90.7310,512.20,Dubuque,RDBI4,819,249.6312
42.4463,-94.1835,512.21,Fort Dodge,RFDI4,938,285.9024
41.6975,-92.7257,512.22,Grinnell,RGRI4,922,281.0256
41.6575,-91.5988,512.23,Iowa City US 218,RIAI4,833,253.8984
41.6891,-91.5812,512.24,Iowa City I-80,RIOI4,819,249.6312
42.0518,-94.3783,512.25,Jefferson,RJFI4,"1,016",309.6768
40.7387,-93.8417,512.26,Leon,RLEI4,"1,145",348.996
42.4710,-91.4473,512.27,Manchester,RMNI4,"1,013",308.7624
42.0685,-90.6835,512.28,Maquoketa,RMQI4,824,251.1552
42.0037,-92.9617,512.29,Marshalltown,RMTI4,955,291.084
43.0380,-93.3418,512.30,Mason City,RMCI4,"1,235",376.428
41.5495,-95.9173,512.31,Missouri Valley,RMVI4,"1,015",309.372
40.8957,-91.5555,512.32,Mount Pleasant,RMPI4,436,132.8928
43.0672,-92.4592,512.33,New Hampton,RNHI4,"1,072",326.7456
42.1713,-96.2295,512.34,Sloan,RONI4,995,303.276
41.0267,-93.7943,512.35,Osceola,ROSI4,1115,339.852
41.0168,-92.4212,512.36,Ottumwa,ROTI4,642,195.6816
41.3902,-92.8725,512.37,Pella,RPLI4,890,271.272
40.9800,-94.9838,512.38,Red Oak,RROI4,953,290.4744
40.6895,-95.7834,512.39,Sidney,RSDI4,943,287.4264
41.3363,-92.3145,512.40,Sigourney,RSGI4,664,202.3872
42.4822,-96.0787,512.41,Moville,RSCI4,1149,350.2152
43.1268,-95.0888,512.42,Spencer,RSPI4,"1,484",452.3232
42.7475,-95.1515,512.43,Storm Lake,RSLI4,"1,329",405.0792
41.6448,-91.1272,512.44,Tipton,RTPI4,664,202.3872
42.3125,-91.9758,512.45,Urbana,RURI4,991,302.0568
42.4557,-92.3090,512.46,Waterloo,RWLI4,882,268.8336
42.5875,-93.5315,512.47,Williams,RWII4,"1,067",325.2216
41.6877,-92.0087,512.48,Williamsburg,RWBI4,854,260.2992
43.3906,-93.3498,512.49,Worth County/Hanlontown,RHAI4,"1,093",333.1464
42.4534,-93.0583,512.50,Steamboat Rock,RSBI4,1111,338.6328
42.3515,-95.4783,512.51,Ida Grove,RIGI4,1215,370.332
42.0712,-91.3357,512.52,Anamosa,RCRI4,939,286.2072
41.6890,-93.2597,512.53,Colfax,RCFI4,806,245.6688
43.4335,-95.7149,512.54,Sibley,RSYI4,1574,479.7552
40.6773,-94.7808,512.55,Bedford,RBFI4,1100,335.28
41.1465,-92.6436,512.56,Eddyville,RDYI4,799,243.5352
41.9649,-92.2983,512.57,Tama,RTMI4,822,250.5456
42.8332,-92.5371,512.58,Plainfield,RPFI4,965,294.132
40.6578,-92.062,512.59,Cantril,RCLI4,693,211.2264
41.9157,-95.3439,512.60,Denison,RDNI4,1400,426.72
41.5171,-90.5131,512.61,Quad Cities,RQCI4,580,176.784
42.5497,-96.3479,512.62,Sioux City,RSMI4,1138,346.8624
42.4501,-94.6700,512.63,Rockwell City,RRWI4,1286,391.9728
43.3993,-94.7973,512.64,Estherville,RETI4,1283,391.0584
41.2605,-95.8031,512.65,Council Bluffs DMS,RCCI4,1036,315.7728
41.7780,-93.5710,512.66,VSL Elkhart Sidemount,RKSI4,963,293.5224
41.8059,-93.5706,512.67,VSL mm97 Beacon,RKNI4,995,303.276
41.8633,-93.5714,512.68,VSL mm101,RCMI4,988,301.1424
43.3706,-92.4701,512.69,Saratoga,SRGI4,1357,413.6136
42.9652,-91.9531,512.70,Hawkeye,HKYI4,1077,328.2696
41.6960,-92.2800,512.72,Victor,VCTI4,865,263.652
41.7396,-93.7757,512.71,Grimes,RGAI4,886,270.0528
