station,station_na,lat,lon,elev,begints,pro_X,pro_Y,Elevation,Slope,Aspect
RHAI4,Hanlontown (I-35),43.39217,-93.3498,333.0,2000-02-21,471670.0,4804430.0,36979.0,85.6589,265.101
RMCI4,Mason City (I-35),43.038,-93.3418,376.0,2000-02-21,472158.0,4765090.0,37844.0,88.0568,86.4338
RWII4,Williams (I-35),42.58861,-93.53128,325.0,2000-02-21,456408.0,4715270.0,35344.0,76.0363,124.019
RAMI4,Ames (I-35),42.03408,-93.56993,313.0,2000-02-21,452825.0,4653720.0,30106.0,68.7326,81.6071
RASI4,Ames 6S I-35,41.9498,-93.57,280.0,2013-12-09,452757.0,4644360.0,27811.0,85.7035,266.949
RCMI4,Cambridge I-35,41.8632,-93.57107,294.0,2015-03-09,452604.0,4634750.0,30263.0,87.5034,92.2906
RKNI4,Elkhart I-35 No2,41.8059,-93.5708,300.0,2015-03-09,452584.0,4628380.0,30377.0,83.5908,128.157
RKSI4,Elkhart I-35 No1,41.778,-93.57095,291.0,2015-03-09,452551.0,4625290.0,29662.0,64.359,106.26
RAKI4,Ankeny (I-35),41.76183,-93.5697,264.0,2000-02-21,452643.0,4623490.0,29273.0,79.7826,112.521
VCTI4,Victor,41.696,-92.28,264.0,2018-05-25,559912.0,4616280.0,26819.0,69.2433,338.703
RIOI4,Iowa City (I-80),41.68867,-91.5812,250.0,2000-02-14,618074.0,4616180.0,23419.0,88.4747,197.631
RGRI4,Grinnell (I-80),41.6975,-92.7257,281.0,2000-02-21,522824.0,4616230.0,30712.0,83.792,315.735
RWBI4,Williamsburg (I-80),41.68767,-92.0087,260.0,2000-02-21,582498.0,4615570.0,24779.0,84.9711,80.5031
RCFI4,Colfax - I-80,41.68904,-93.25977,240.0,2007-01-29,478382.0,4615280.0,24324.0,52.5244,333.435
RTOI4,Altoona (I-80/US 65),41.65967,-93.5222,262.0,2000-02-21,456523.0,4612120.0,28839.0,88.5912,348.713
RTPI4,Tipton (I-80),41.6448,-91.1272,202.0,2000-02-21,655964.0,4612030.0,21126.0,78.3384,211.64
RDVI4,Davenport (I-80/I-280),41.60233,-90.6777,206.0,2000-02-21,693527.0,4608230.0,22352.0,80.7377,25.3462
RDEI4,De Soto (I-80/US 169),41.5415,-94.0112,291.0,2000-02-21,415656.0,4599370.0,30129.0,58.941,287.526
RDSI4,Des Moines (I-35),41.5275,-93.7723,224.0,2000-02-21,435569.0,4597610.0,25367.0,84.3871,272.347
RAVI4,Avoca (I-80),41.49817,-95.2915,377.0,2000-02-21,308733.0,4596600.0,38070.0,74.8783,144.162
RDAI4,Adair (I-80),41.49633,-94.7263,450.0,1994-12-30,355907.0,4595300.0,43186.0,83.2793,172.666
RCCI4,Council Bluffs No2,41.2605,-95.8031,314.0,2014-02-07,265173.0,4571470.0,31298.0,77.8799,133.55
RCBI4,Council Bluffs (I-80),41.2325,-95.8662,268.0,2000-02-21,259784.0,4568530.0,29951.0,78.0014,337.068
ROSI4,Osceola (I-35),41.03,-93.79,334.0,2000-02-21,433590.0,4542390.0,34253.0,35.3579,139.764
RLEI4,Leon (I-35)/IA 2),40.73867,-93.8417,349.0,2000-02-21,428933.0,4510090.0,33584.0,88.0868,278.807
