,Predict,LABEL,x,y,PHOTO_URL,prob_Bare,prob_Partly Snow Coverage,prob_Undefined,prob_Full Snow Coverage,RSI
0,Bare,Bare,-93.464002,41.667810001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A34389/A34389_202305021800.jpg,0.9995088577270508,0.0004911030409857631,5.700342864400909e-09,5.69506594660929e-11,0.4
1,Partly Snow Coverage,Partly Snow Coverage,-93.570492,41.802897001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A33812/A33812_202305021801.jpg,0.39036715030670166,0.6079695820808411,0.0005816544871777296,0.0010815714485943317,0.4
2,Partly Snow Coverage,Partly Snow Coverage,-95.879512,41.232693001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A34645/A34645_202305021801.jpg,0.00019800856534857303,0.9885857701301575,0.00024490233045071363,0.010971330106258392,0.4
3,Bare,Bare,-93.785002,41.158948001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A34712/A34712_202305021802.jpg,0.9150967597961426,0.08112288266420364,0.0016618060180917382,0.0021185711957514286,0.4
4,Bare,Bare,-93.783872,41.183015001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A35016/A35016_202305021803.jpg,1.0,8.954381696844524e-14,1.3907757866367387e-13,3.066204344267894e-17,0.4
5,Bare,Bare,-93.463322,41.668507001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A34336/A34336_202305021803.jpg,0.9978995323181152,0.002007211558520794,5.664507989422418e-05,3.659151116153225e-05,0.4
6,Partly Snow Coverage,Partly Snow Coverage,-93.570375,41.977705001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A33854/A33854_202305021803.jpg,0.04123552143573761,0.9403359293937683,0.0024295307230204344,0.015999116003513336,0.4
7,Bare,Bare,-95.879128,41.233055001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A32866/A32866_202305021806.jpg,0.9226722717285156,0.07726773619651794,5.2914212574250996e-05,7.028707841527648e-06,0.4
8,Bare,Bare,-93.576817,41.724812001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A33812/A33812_202305021806.jpg,0.9922401905059814,0.007759439293295145,3.6812099324379233e-07,7.656869804861799e-09,0.4
9,Partly Snow Coverage,Partly Snow Coverage,-93.569122,42.455443001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A34735/A34735_202305021807.jpg,0.007960728369653225,0.9501032829284668,0.0004310511576477438,0.04150504246354103,0.4
10,Bare,Bare,-93.780717,41.243273001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A34712/A34712_202305021807.jpg,1.0,1.8316233675163412e-13,1.542951183486352e-11,2.5502866676987725e-17,0.4
11,Bare,Bare,-93.78002,41.262172001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A35016/A35016_202305021808.jpg,1.0,8.744549135230352e-22,2.1459391535098343e-21,1.7555576676084338e-29,0.4
12,Bare,Bare,-93.559792,41.654607001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A34336/A34336_202305021808.jpg,1.0,3.5681718690838693e-10,2.0634525338403265e-11,7.118663297722705e-13,0.4
13,Bare,Bare,-95.587465,41.485042001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A32081/A32081_202305021808.jpg,0.9986867308616638,0.0013129254803061485,3.6330817465568543e-07,3.165723327924752e-08,0.4
14,Partly Snow Coverage,Partly Snow Coverage,-93.569595,41.949407001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A33529/A33529_202305021810.jpg,0.21712979674339294,0.3950551450252533,0.34880053997039795,0.03901448845863342,0.4
15,Bare,Bare,-93.77886,41.316177001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A34712/A34712_202305021812.jpg,1.0,3.0833679359743016e-11,3.295924366764069e-10,1.1024833457729151e-14,0.4
16,Partly Snow Coverage,Partly Snow Coverage,-93.779832,41.330803001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A35016/A35016_202305021813.jpg,0.18332532048225403,0.7875642776489258,0.000284836016362533,0.028825512155890465,0.4
17,Bare,Bare,-95.879358,41.232592001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A32866/A32866_202305021816.jpg,0.9984102249145508,0.0015869531780481339,7.795412670930091e-07,1.9920014437957434e-06,0.4
18,Bare,Bare,-93.779837,41.353808001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A34712/A34712_202305021817.jpg,0.9998898506164551,3.6630350223276764e-05,6.720763485645875e-05,6.279216449911473e-06,0.4
19,Bare,Bare,-93.779507,41.343938001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A35016/A35016_202305021818.jpg,0.6436063051223755,0.24551042914390564,0.005803769454360008,0.1050795167684555,0.4
20,Partly Snow Coverage,Partly Snow Coverage,-93.780163,41.291188001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A34712/A34712_202305021827.jpg,0.01207949873059988,0.9804351329803467,0.006293344311416149,0.0011919951066374779,0.4
21,Bare,Bare,-93.496497,41.662088001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A34000/A34000_202305021829.jpg,0.9941213726997375,0.0027700585778802633,3.7117039028089494e-05,0.0030714625027030706,0.4
22,Partly Snow Coverage,Partly Snow Coverage,-93.571368,42.008617001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A35234/A35234_202305021833.jpg,0.015419997274875641,0.9845700860023499,4.249390258337371e-06,5.67239885640447e-06,0.4
23,Undefined,Undefined,-93.779768,41.287613001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A34712/A34712_202305021837.jpg,1.217811404785607e-05,1.368261308698493e-07,0.9999877214431763,3.5023277611401227e-09,0.4
24,Bare,Bare,-93.779342,41.283832001,https://mesonet.agron.iastate.edu/archive/data/2023/05/02/camera/idot_trucks/A35016/A35016_202305021838.jpg,0.5751630067825317,0.4169325828552246,0.007892781868577003,1.1662665201583877e-05,0.4
